Tract,Population,VAP,Hispanic,Hispanic any race,NH_White,NH_Black,NH_AINA,NH_Asian,NH_NHPI,NH_some_other,NH_2+,CVAP
45015020102,3515,2949,3515,92,1849,1442,0,4,9,0,119,2945
45015020201,3676,2690,3676,54,1626,1948,16,5,0,0,27,2599
45015020202,3714,2939,3714,28,859,2790,0,0,0,0,37,2939
45015020301,3543,2628,3543,16,2918,434,0,0,0,0,175,2628
45015020302,6736,5473,6736,162,4523,1804,49,127,0,0,71,5262
45015020401,4097,3380,4097,120,2225,1648,15,0,0,0,89,3369
45015020403,8030,5983,8030,199,7353,272,0,102,0,0,104,5833
45015020404,5074,3891,5074,408,3760,767,0,21,0,0,118,3874
45015020405,3405,2854,3405,14,1321,2024,0,0,0,0,46,2846
45015020503,4824,4130,4824,39,3621,977,35,0,0,0,152,4113
45015020504,4446,3378,4446,44,2021,2278,0,8,0,6,89,3339
45015020505,4186,2888,4186,322,2179,1474,0,20,41,0,150,2857
45015020506,5722,4285,5722,41,3909,1701,0,0,0,0,71,4249
45015020600,9725,7293,9725,558,6950,1992,0,21,0,13,191,7213
45015020707,6885,5098,6885,435,4493,1689,45,41,0,0,182,5032
45015020710,7348,5000,7348,312,4298,1966,18,178,0,0,576,4692
45015020711,9536,6860,9536,582,6919,1393,47,158,0,0,437,6781
45015020712,3339,2709,3339,207,2926,48,43,25,0,0,90,2680
45015020713,4019,3383,4019,269,2810,455,33,204,0,3,245,3323
45015020714,5150,4287,5150,180,3532,1266,0,45,0,42,85,4187
45015020715,4532,3550,4532,268,2966,1053,13,0,0,0,232,3477
45015020716,8936,6467,8936,285,6617,1508,91,148,35,47,205,6305
45015020717,5393,3841,5393,546,3260,1339,32,13,0,0,203,3751
45015020718,6089,4285,6089,701,3450,1552,18,32,103,32,201,4019
45015020719,7630,5914,7630,756,5053,1291,163,109,0,0,258,5720
45015020720,2842,2219,2842,73,2445,80,30,121,0,15,78,2119
45015020721,3299,2467,3299,184,2312,545,55,76,0,20,107,2415
45015020722,3150,2495,3150,56,2641,333,6,44,0,0,70,2457
45015020723,3268,2564,3268,356,2219,381,0,83,0,79,150,2380
45015020724,3621,3273,3621,375,2455,391,0,140,0,5,255,3262
45015020725,1451,910,1451,203,889,240,0,35,0,0,84,905
45015020804,2483,2072,2483,278,1251,709,0,183,0,23,39,1873
45015020806,3920,2763,3920,500,1859,1368,10,68,0,76,39,2629
45015020807,8083,5873,8083,557,4569,2165,0,455,0,0,337,5578
45015020808,4207,2904,4207,549,1695,1438,0,163,0,0,362,2728
45015020809,3465,2770,3465,356,1713,843,0,544,0,0,9,2591
45015020810,4662,3305,4662,1038,2114,1030,15,260,0,96,109,2838
45015020811,5009,3672,5009,650,1850,1866,28,224,0,136,255,3281
45015020812,7288,5209,7288,372,5674,713,0,373,0,0,156,5006
45015020901,1977,1403,1977,249,1175,469,0,0,0,0,84,1237
45015020903,3823,3037,3823,171,3210,348,30,25,0,0,39,2968
45015020904,4754,3772,4754,532,3058,631,0,470,0,0,63,3293
45015021000,5238,4094,5238,1056,2776,998,0,201,0,66,141,3661
45015980100,0,0,0,0,0,0,0,0,0,0,0,0
45017950100,5087,4372,5087,393,3256,1275,90,0,54,0,19,4273
45017950200,6046,4774,6046,114,2786,3112,22,4,0,0,8,4735
45017950400,3530,2669,3530,46,1873,1601,10,0,0,0,0,2664
45019000100,1967,1597,1967,152,1662,142,0,0,0,0,11,1543
45019000200,1291,1118,1291,5,1237,34,0,15,0,0,0,1086
45019000400,3124,2936,3124,79,2302,616,0,44,0,0,83,2874
45019000500,1789,1634,1789,52,1707,30,0,0,0,0,0,1509
45019000600,1182,1136,1182,21,982,80,0,80,0,0,19,1094
45019000700,2558,2536,2558,73,1941,386,0,44,0,0,114,2494
